lat_wrf,lon_wrf,temperatura,viento,lluvia,humedad,nubosidad
33.21064,-12.172028,22.1,18.3,0.0,91.1,70.3
33.215546,-12.11792,22.2,18.6,0.0,90.9,69.7
33.220425,-12.063782,22.2,19.0,0.0,90.8,69.2
33.225277,-12.009644,22.2,19.3,0.0,90.6,68.7
33.23009,-11.955505,22.3,19.6,0.0,90.5,68.3
33.234875,-11.901367,22.3,19.8,0.0,90.4,68.0
33.239628,-11.8471985,22.3,20.1,0.0,90.3,67.7
33.244354,-11.79303,22.3,20.3,0.0,90.3,67.5
33.249054,-11.738861,22.4,20.5,0.0,90.2,67.2
33.25371,-11.684662,22.4,20.5,0.0,90.1,66.9
33.258343,-11.630493,22.4,20.5,0.0,90.0,66.6
33.26294,-11.576294,22.5,20.4,0.0,89.9,66.4
33.267525,-11.522095,22.5,20.3,0.0,89.9,66.2
33.27206,-11.467865,22.5,20.1,0.0,89.9,66.2
33.276573,-11.413666,22.5,19.8,0.0,90.0,66.5
33.281055,-11.359436,22.5,19.5,0.0,90.1,66.8
33.285496,-11.305206,22.5,19.2,0.0,90.2,67.1
33.289913,-11.250946,22.5,18.9,0.0,90.2,67.4
33.294304,-11.196716,22.5,18.6,0.0,90.3,67.5
33.29866,-11.142456,22.5,18.4,0.0,90.3,67.6
33.30299,-11.088196,22.5,18.1,0.0,90.3,67.8
33.307285,-11.033936,22.6,18.0,0.0,90.3,67.7
33.311543,-10.979645,22.6,17.9,0.0,90.3,67.7
33.31578,-10.925354,22.6,17.8,0.0,90.3,67.5
33.31998,-10.871063,22.6,17.8,0.0,90.2,67.3
33.324158,-10.816772,22.6,17.8,0.0,90.1,67.0
33.328293,-10.762482,22.7,17.8,0.0,90.0,66.6
33.332413,-10.70816,22.7,17.9,0.0,89.9,66.3
33.336487,-10.653839,22.8,18.0,0.0,89.8,66.0
33.340546,-10.599518,22.8,18.0,0.0,89.7,65.6
33.34456,-10.545197,22.9,18.1,0.0,89.6,65.2
33.34855,-10.490875,22.9,18.1,0.0,89.5,64.9
33.35251,-10.436523,23.0,18.2,0.0,89.3,64.4
33.356438,-10.382172,23.0,18.2,0.0,89.2,64.0
33.360332,-10.32782,23.1,18.2,0.0,89.1,63.5
33.364197,-10.273468,23.1,18.1,0.0,88.9,63.1
33.368034,-10.219086,23.2,18.1,0.0,88.8,62.6
33.371826,-10.164703,23.2,18.0,0.0,88.7,62.1
33.37561,-10.110321,23.3,17.9,0.0,88.5,61.7
33.379353,-10.055939,23.3,17.7,0.0,88.4,61.3
33.383064,-10.001556,23.3,17.5,0.0,88.3,61.0
33.38674,-9.947144,23.3,17.1,0.0,88.3,61.1
33.3904,-9.892761,23.4,16.6,0.0,88.4,61.3
33.394016,-9.838348,23.4,16.2,0.0,88.5,61.6
33.397594,-9.783936,23.4,15.9,0.0,88.5,61.7
33.401157,-9.729492,23.4,15.7,0.0,88.5,61.7
33.404682,-9.675079,23.4,15.9,0.0,88.5,61.4
33.40818,-9.620636,23.4,16.2,0.0,88.4,61.2
33.411648,-9.566223,23.4,16.3,0.0,88.3,60.9
33.415077,-9.511749,23.4,16.5,0.0,88.3,60.8
33.41849,-9.457306,23.5,16.7,0.0,88.2,60.8
33.421852,-9.402863,23.5,16.8,0.0,88.3,60.8
33.425194,-9.348389,23.5,16.8,0.0,88.3,61.0
33.4285,-9.293945,23.5,16.9,0.0,88.4,61.1
33.43179,-9.239471,23.5,16.9,0.0,88.4,61.2
33.435036,-9.184967,23.5,16.8,0.0,88.4,61.3
33.438255,-9.130493,23.6,16.7,0.0,88.4,61.4
33.44144,-9.076019,23.6,16.7,0.0,88.5,61.5
33.444603,-9.021515,23.6,16.6,0.0,88.5,61.5
33.447727,-8.9670105,23.6,16.4,0.0,88.5,61.6
33.450817,-8.912506,23.6,16.4,0.0,88.4,61.2
33.453884,-8.858002,23.7,16.3,0.0,88.2,60.7
33.45692,-8.803497,23.7,16.2,0.0,88.1,60.2
33.459923,-8.748993,23.7,15.9,0.0,88.0,59.9
33.46289,-8.694458,23.7,15.6,0.0,88.0,59.9
33.465824,-8.639923,23.7,15.2,0.0,88.0,60.0
33.468735,-8.585388,23.8,14.7,0.0,88.1,60.2
33.47161,-8.530853,23.8,14.3,0.0,88.1,60.4
33.47446,-8.476318,23.8,13.8,0.0,88.2,60.6
33.477276,-8.421783,23.7,13.2,0.0,88.3,61.0
33.480057,-8.367218,23.7,12.7,0.0,88.4,61.3
33.482815,-8.312653,23.7,12.1,0.0,88.5,61.6
33.48553,-8.258118,23.6,11.5,0.0,88.5,61.7
33.48823,-8.203552,23.5,10.8,0.0,88.8,62.7
33.490883,-8.148956,23.4,10.2,0.0,89.0,63.1
33.493515,-8.094391,23.3,9.6,0.0,88.4,61.4
33.496117,-8.039825,23.3,8.7,0.0,87.3,57.5
33.49868,-7.9852295,23.4,7.3,0.0,85.5,51.5
33.501225,-7.930664,23.6,5.7,0.0,84.5,48.3
33.50373,-7.876068,22.1,3.9,0.0,87.5,58.2
33.5062,-7.821472,22.5,3.9,0.0,84.2,47.2
33.508644,-7.766876,22.6,4.6,0.0,81.0,36.6
33.51106,-7.7122803,22.8,4.4,0.0,77.3,24.2
33.51344,-7.657654,24.3,3.8,0.0,65.6,0.0
33.51578,-7.603058,24.5,3.7,0.0,61.8,0.0
33.518105,-7.5484314,23.5,4.2,0.0,64.2,0.0
33.5204,-7.4938354,23.6,4.0,0.0,61.3,0.0
33.52266,-7.439209,23.5,3.6,0.0,58.5,0.0
33.524883,-7.3845825,23.3,3.3,0.0,55.0,0.0
33.527077,-7.329956,23.3,3.3,0.0,49.7,0.0
33.529247,-7.2753296,23.6,3.8,0.0,43.4,0.0
33.531372,-7.2206726,23.6,3.5,0.0,38.7,0.0
33.533485,-7.166046,23.6,3.2,0.0,37.7,0.0
33.535545,-7.111389,24.3,3.6,0.0,33.4,0.0
33.537598,-7.0567627,25.4,4.0,0.0,29.3,0.0
33.539604,-7.0021057,25.6,3.8,0.0,28.2,0.0
33.54158,-6.9474487,24.4,3.5,0.0,31.4,0.0
33.54352,-6.8927917,24.8,3.8,0.0,29.6,0.0
33.545437,-6.838135,24.9,3.6,0.0,29.2,0.0
33.54732,-6.783478,24.2,3.6,0.0,32.0,0.0
33.54918,-6.728821,24.4,3.3,0.0,31.4,0.0
33.550995,-6.6741333,24.6,2.9,0.0,30.8,0.0
33.552795,-6.6194763,25.4,2.5,0.0,28.8,0.0
33.55455,-6.564789,24.6,2.1,0.0,30.5,0.0
33.556286,-6.510132,25.0,1.5,0.0,28.7,0.0
33.55798,-6.4554443,25.8,1.3,0.0,26.1,0.0
33.559654,-6.400757,26.7,1.4,0.0,22.8,0.0
33.561287,-6.3460693,26.1,2.3,0.0,22.6,0.0
33.562893,-6.291382,25.7,3.5,0.0,21.2,0.0
33.564457,-6.2366943,25.4,4.4,0.0,20.7,0.0
33.56601,-6.182007,24.8,5.6,0.0,20.0,0.0
33.567516,-6.1273193,24.0,5.8,0.0,19.1,0.0
33.56899,-6.0726013,24.7,6.7,0.0,15.0,0.0
33.57045,-6.017914,23.6,7.2,0.0,15.6,0.0
33.571865,-5.9632263,24.9,7.6,0.0,13.1,0.0
33.573257,-5.9085083,23.7,7.9,0.0,17.5,0.0
33.574608,-5.8537903,25.0,8.4,0.0,16.8,0.0
33.575928,-5.799103,22.5,8.4,0.0,20.7,0.0
33.57723,-5.744385,23.1,7.4,0.0,17.8,0.0
33.578495,-5.6896667,23.1,7.3,0.0,18.6,0.0
33.579712,-5.6349487,23.4,6.5,0.0,18.9,0.0
33.58092,-5.5802307,21.3,6.3,0.0,23.0,0.0
33.582092,-5.5255127,21.1,6.2,0.0,23.8,0.0
33.583237,-5.4707947,21.1,6.5,0.0,26.9,0.0
33.584343,-5.4160767,21.1,5.6,0.0,27.6,0.0
33.58541,-5.3613586,20.9,5.9,0.0,25.2,0.0
33.586445,-5.30661,20.8,6.1,0.0,24.2,0.0
33.58746,-5.251892,20.6,6.8,0.0,24.8,0.0
33.588455,-5.197174,20.5,6.8,0.0,25.0,0.0
33.589397,-5.1424255,20.3,7.0,0.0,25.2,0.0
33.590324,-5.0877075,18.5,7.3,0.0,27.7,0.0
33.59121,-5.032959,18.6,6.9,0.0,27.0,0.0
33.59207,-4.9782104,18.2,7.1,0.0,27.9,0.0
33.592888,-4.9234924,18.3,7.1,0.0,28.0,0.0
33.593693,-4.868744,18.6,8.4,0.0,28.0,0.0
33.594448,-4.8139954,18.9,8.8,0.0,27.7,0.0
33.59519,-4.7592773,19.1,8.9,0.0,27.0,0.0
33.595882,-4.704529,19.1,8.6,0.0,26.2,0.0
33.59655,-4.6497803,19.6,8.7,0.0,25.9,0.0
33.59719,-4.5950317,21.5,8.7,0.0,25.3,0.0
33.597797,-4.540283,24.3,8.9,0.0,23.2,0.0
33.59839,-4.4855347,24.8,8.9,0.0,23.2,0.0
33.598923,-4.430786,23.2,8.0,0.0,23.9,0.0
33.599438,-4.3760376,20.3,7.6,0.0,26.3,0.0
33.599926,-4.321289,18.6,6.4,0.0,27.2,0.0
33.600376,-4.2665405,18.0,6.0,0.0,28.0,0.0
33.60079,-4.211792,17.9,5.1,0.0,28.8,0.0
33.601192,-4.1570435,17.9,4.3,0.0,26.9,0.0
33.601543,-4.102295,16.3,1.1,0.0,29.3,0.0
33.60187,-4.0475464,17.9,2.1,0.0,29.0,0.0
33.60217,-3.9927979,17.7,2.8,0.0,33.2,0.0
33.60243,-3.9380493,18.2,2.8,0.0,29.3,0.0
33.602665,-3.8832703,16.3,1.8,0.0,29.2,0.0
33.602863,-3.8285217,16.1,1.0,0.0,28.7,0.0
33.60304,-3.7737732,19.5,1.2,0.0,28.0,0.0
33.603176,-3.7190247,22.2,4.8,0.0,29.1,0.0
33.603287,-3.6642761,25.6,5.4,0.0,25.3,0.0
33.603374,-3.609497,26.0,5.1,0.0,26.6,0.0
33.60342,-3.5547485,25.4,4.8,0.0,27.0,0.0
33.60343,-3.5,24.4,4.4,0.0,27.7,0.0
33.60342,-3.4452515,23.4,4.6,0.0,29.3,0.0
33.603374,-3.390503,22.8,4.9,0.0,29.8,0.0
33.603287,-3.3357239,22.1,4.5,0.0,30.1,0.0
33.603176,-3.2809753,21.5,4.1,0.0,28.9,0.0
33.60304,-3.2262268,21.3,3.6,0.0,29.9,0.0
33.602863,-3.1714783,21.3,2.7,0.0,29.2,0.0
33.602665,-3.1167297,21.1,2.8,0.0,27.7,0.0
