lat_wrf,lon_wrf,temperatura,viento,lluvia,humedad,nubosidad
33.21064,-12.172028,22.3,15.9,0.0,90.7,68.9
33.215546,-12.11792,22.3,16.2,0.0,90.7,68.8
33.220425,-12.063782,22.3,16.5,0.0,90.6,68.7
33.225277,-12.009644,22.4,16.9,0.0,90.5,68.4
33.23009,-11.955505,22.4,17.4,0.0,90.4,68.0
33.234875,-11.901367,22.4,17.8,0.0,90.3,67.5
33.239628,-11.8471985,22.5,18.4,0.0,90.1,66.9
33.244354,-11.79303,22.5,18.9,0.0,89.9,66.3
33.249054,-11.738861,22.6,19.3,0.0,89.8,65.9
33.25371,-11.684662,22.6,19.5,0.0,89.6,65.4
33.258343,-11.630493,22.6,19.7,0.0,89.5,65.0
33.26294,-11.576294,22.7,19.8,0.0,89.4,64.7
33.267525,-11.522095,22.7,19.8,0.0,89.3,64.4
33.27206,-11.467865,22.7,19.8,0.0,89.3,64.3
33.276573,-11.413666,22.7,19.7,0.0,89.3,64.3
33.281055,-11.359436,22.7,19.6,0.0,89.4,64.5
33.285496,-11.305206,22.7,19.4,0.0,89.4,64.5
33.289913,-11.250946,22.7,19.4,0.0,89.4,64.6
33.294304,-11.196716,22.7,19.3,0.0,89.4,64.5
33.29866,-11.142456,22.7,19.3,0.0,89.4,64.5
33.30299,-11.088196,22.7,19.4,0.0,89.3,64.4
33.307285,-11.033936,22.7,19.5,0.0,89.3,64.2
33.311543,-10.979645,22.8,19.7,0.0,89.2,63.9
33.31578,-10.925354,22.8,19.9,0.0,89.1,63.5
33.31998,-10.871063,22.8,20.1,0.0,88.9,63.0
33.324158,-10.816772,22.9,20.5,0.0,88.7,62.3
33.328293,-10.762482,22.9,20.9,0.0,88.5,61.7
33.332413,-10.70816,23.0,21.3,0.0,88.3,61.0
33.336487,-10.653839,23.0,21.7,0.0,88.1,60.3
33.340546,-10.599518,23.0,22.2,0.0,87.9,59.6
33.34456,-10.545197,23.1,22.6,0.0,87.7,59.1
33.34855,-10.490875,23.1,23.0,0.0,87.6,58.8
33.35251,-10.436523,23.2,23.3,0.0,87.7,58.8
33.356438,-10.382172,23.2,23.5,0.0,87.7,59.1
33.360332,-10.32782,23.2,23.7,0.0,87.8,59.4
33.364197,-10.273468,23.3,23.8,0.0,88.0,59.8
33.368034,-10.219086,23.3,23.9,0.0,88.0,60.1
33.371826,-10.164703,23.3,24.0,0.0,88.1,60.3
33.37561,-10.110321,23.4,24.0,0.0,88.2,60.6
33.379353,-10.055939,23.4,24.0,0.0,88.3,61.0
33.383064,-10.001556,23.4,23.9,0.0,88.4,61.4
33.38674,-9.947144,23.4,23.8,0.0,88.6,62.0
33.3904,-9.892761,23.5,23.5,0.0,88.8,62.7
33.394016,-9.838348,23.5,23.2,0.0,89.0,63.4
33.397594,-9.783936,23.5,23.1,0.0,89.2,63.9
33.401157,-9.729492,23.5,23.2,0.0,89.3,64.1
33.404682,-9.675079,23.5,23.3,0.0,89.2,64.0
33.40818,-9.620636,23.5,23.8,0.0,89.1,63.7
33.411648,-9.566223,23.6,24.0,0.0,89.0,63.3
33.415077,-9.511749,23.6,24.4,0.0,88.9,63.0
33.41849,-9.457306,23.6,24.7,0.0,88.9,62.9
33.421852,-9.402863,23.6,25.0,0.0,88.8,62.8
33.425194,-9.348389,23.6,25.3,0.0,88.9,62.8
33.4285,-9.293945,23.7,25.4,0.0,88.9,63.0
33.43179,-9.239471,23.7,25.5,0.0,89.0,63.3
33.435036,-9.184967,23.7,25.3,0.0,89.2,63.8
33.438255,-9.130493,23.7,25.2,0.0,89.4,64.6
33.44144,-9.076019,23.7,24.8,0.0,89.6,65.3
33.444603,-9.021515,23.7,24.5,0.0,89.8,65.9
33.447727,-8.9670105,23.7,24.2,0.0,90.0,66.5
33.450817,-8.912506,23.7,24.0,0.0,90.1,66.8
33.453884,-8.858002,23.7,23.8,0.0,90.1,67.0
33.45692,-8.803497,23.7,23.6,0.0,90.1,67.1
33.459923,-8.748993,23.8,23.3,0.0,90.1,66.9
33.46289,-8.694458,23.8,23.0,0.0,90.1,66.8
33.465824,-8.639923,23.8,22.8,0.0,90.0,66.5
33.468735,-8.585388,23.9,22.5,0.0,89.8,66.1
33.47161,-8.530853,23.9,22.1,0.0,89.7,65.5
33.47446,-8.476318,23.9,21.6,0.0,89.5,64.9
33.477276,-8.421783,23.9,20.9,0.0,89.4,64.7
33.480057,-8.367218,23.9,20.2,0.0,89.3,64.4
33.482815,-8.312653,23.9,19.4,0.0,89.2,63.8
33.48553,-8.258118,23.9,18.6,0.0,88.9,63.0
33.48823,-8.203552,23.9,17.3,0.0,89.0,63.3
33.490883,-8.148956,23.8,16.1,0.0,89.2,64.1
33.493515,-8.094391,23.7,14.7,0.0,89.3,64.2
33.496117,-8.039825,23.7,13.1,0.0,88.8,62.7
33.49868,-7.9852295,24.0,11.6,0.0,87.2,57.3
33.501225,-7.930664,24.2,9.8,0.0,85.5,51.5
33.50373,-7.876068,24.1,8.3,0.0,73.0,10.0
33.5062,-7.821472,25.3,7.7,0.0,63.6,0.0
33.508644,-7.766876,25.8,7.9,0.0,56.4,0.0
33.51106,-7.7122803,26.3,7.8,0.0,50.8,0.0
33.51344,-7.657654,28.4,8.9,0.0,40.8,0.0
33.51578,-7.603058,28.7,8.7,0.0,37.3,0.0
33.518105,-7.5484314,27.2,7.5,0.0,39.0,0.0
33.5204,-7.4938354,27.3,7.2,0.0,37.2,0.0
33.52266,-7.439209,27.0,6.9,0.0,36.4,0.0
33.524883,-7.3845825,26.7,6.5,0.0,36.0,0.0
33.527077,-7.329956,26.6,6.6,0.0,34.5,0.0
33.529247,-7.2753296,26.7,7.2,0.0,31.5,0.0
33.531372,-7.2206726,26.2,6.7,0.0,31.2,0.0
