lat_wrf,lon_wrf,temperatura,viento,lluvia,humedad,nubosidad
33.550995,-6.6741333,35.6,10.1,0.0,9.8,0.0
33.552795,-6.6194763,35.5,9.6,0.0,9.7,0.0
33.55455,-6.564789,35.6,9.4,0.0,9.5,0.0
33.556286,-6.510132,35.1,9.2,0.0,9.6,0.0
33.55798,-6.4554443,35.4,9.1,0.0,9.5,0.0
33.559654,-6.400757,35.4,8.9,0.0,9.6,0.0
33.561287,-6.3460693,35.4,9.2,0.0,9.6,0.0
33.562893,-6.291382,35.4,9.6,0.0,9.6,0.0
33.564457,-6.2366943,35.4,10.1,0.0,9.5,0.0
33.56601,-6.182007,35.3,10.3,0.0,9.4,0.0
33.567516,-6.1273193,34.8,10.9,0.0,9.2,0.0
33.56899,-6.0726013,32.8,11.3,0.0,9.7,0.0
33.57045,-6.017914,32.9,11.9,0.0,9.4,0.0
33.571865,-5.9632263,33.3,12.8,0.0,9.2,0.0
33.573257,-5.9085083,34.6,13.2,0.0,8.7,0.0
33.574608,-5.8537903,34.6,13.3,0.0,8.9,0.0
33.575928,-5.799103,34.6,15.1,0.0,8.7,0.0
33.57723,-5.744385,32.2,15.7,0.0,9.6,0.0
33.578495,-5.6896667,32.0,15.8,0.0,9.7,0.0
33.579712,-5.6349487,31.4,15.7,0.0,9.9,0.0
33.58092,-5.5802307,31.7,15.0,0.0,10.4,0.0
33.582092,-5.5255127,31.3,15.0,0.0,10.7,0.0
33.583237,-5.4707947,32.5,15.5,0.0,10.3,0.0
33.584343,-5.4160767,32.6,15.0,0.0,10.5,0.0
33.58541,-5.3613586,30.6,15.1,0.0,11.5,0.0
33.586445,-5.30661,29.4,15.5,0.0,12.3,0.0
33.58746,-5.251892,29.0,16.4,0.0,12.6,0.0
33.588455,-5.197174,28.6,17.4,0.0,12.9,0.0
33.589397,-5.1424255,28.3,18.6,0.0,13.1,0.0
33.590324,-5.0877075,28.4,19.8,0.0,13.6,0.0
33.59121,-5.032959,27.9,18.3,0.0,14.4,0.0
33.59207,-4.9782104,27.7,20.8,0.0,14.2,0.0
33.592888,-4.9234924,28.0,20.0,0.0,14.1,0.0
33.593693,-4.868744,28.9,18.8,0.0,13.6,0.0
33.594448,-4.8139954,29.6,18.0,0.0,13.4,0.0
33.59519,-4.7592773,29.4,17.5,0.0,13.8,0.0
33.595882,-4.704529,28.4,16.9,0.0,15.0,0.0
